Date,ZHVI,MORTGAGE30US,ZHVI_Lag1,Rate_Lag1,Target_Next_Month_ZHVI
2018-03-01,615196.4504993045,4.444,607631.7395936348,4.33,620956.461316638
2018-04-01,620956.461316638,4.4675,615196.4504993045,4.444,625574.4268143884
2018-05-01,625574.4268143884,4.586,620956.461316638,4.4675,629040.0876088454
2018-06-01,629040.0876088454,4.57,625574.4268143884,4.586,632666.7876336371
2018-07-01,632666.7876336371,4.5275,629040.0876088454,4.57,638123.3935660593
2018-08-01,638123.3935660593,4.55,632666.7876336371,4.5275,645405.6279433011
2018-09-01,645405.6279433011,4.6274999999999995,638123.3935660593,4.55,653140.2942431325
2018-10-01,653140.2942431325,4.83,645405.6279433011,4.6274999999999995,658616.6947206616
2018-11-01,658616.6947206616,4.866,653140.2942431325,4.83,661535.5449691159
2018-12-01,661535.5449691159,4.6375,658616.6947206616,4.866,659114.4186018776
2019-01-01,659114.4186018776,4.464,661535.5449691159,4.6375,652801.6087099202
2019-02-01,652801.6087099202,4.37,659114.4186018776,4.464,645112.7647467162
2019-03-01,645112.7647467162,4.265,652801.6087099202,4.37,640211.7542589392
2019-04-01,640211.7542589392,4.1425,645112.7647467162,4.265,637715.7181439105
2019-05-01,637715.7181439105,4.072,640211.7542589392,4.1425,636451.7926285611
2019-06-01,636451.7926285611,3.8024999999999998,637715.7181439105,4.072,637278.4227399522
2019-07-01,637278.4227399522,3.765,636451.7926285611,3.8024999999999998,641052.2834393887
2019-08-01,641052.2834393887,3.6159999999999997,637278.4227399522,3.765,647255.4993296043
2019-09-01,647255.4993296043,3.605,641052.2834393887,3.6159999999999997,653896.1572587955
2019-10-01,653896.1572587955,3.6879999999999997,647255.4993296043,3.605,659947.1376713789
2019-11-01,659947.1376713789,3.6950000000000003,653896.1572587955,3.6879999999999997,665437.8422607678
2019-12-01,665437.8422607678,3.72,659947.1376713789,3.6950000000000003,668663.8720827798
2020-01-01,668663.8720827798,3.624,665437.8422607678,3.72,670197.9145403933
2020-02-01,670197.9145403933,3.4650000000000003,668663.8720827798,3.624,670965.7465268174
2020-03-01,670965.7465268174,3.45,670197.9145403933,3.4650000000000003,671932.363232477
2020-04-01,671932.363232477,3.306,670965.7465268174,3.45,670990.9264844117
2020-05-01,670990.9264844117,3.2325,671932.363232477,3.306,668159.2780573036
2020-06-01,668159.2780573036,3.1625,670990.9264844117,3.2325,667842.4415919796
2020-07-01,667842.4415919796,3.016,668159.2780573036,3.1625,672893.907895794
2020-08-01,672893.907895794,2.935,667842.4415919796,3.016,683722.9303286714
